tipo;metrica_train;dataset;parametro;hora_inicio;hora_fim;hora_fim_p;TP;TN;FP;FN;normais;anomalas;metrica;valor
rdf;Recall;Original;{'n_estimators': 400, 'min_samples_split': 2, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:17;Thu, 12 Aug 2021 10:51:53;Thu, 12 Aug 2021 10:51:54;11597;1539;1440;232;11829;2979;Recall;0.9803871840392256
rdf;Recall;Original;{'n_estimators': 400, 'min_samples_split': 2, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:17;Thu, 12 Aug 2021 10:51:53;Thu, 12 Aug 2021 10:51:54;11597;1539;1440;232;11829;2979;F1;0.9327595914099575
rdf;Recall;Original;{'n_estimators': 400, 'min_samples_split': 2, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:17;Thu, 12 Aug 2021 10:51:53;Thu, 12 Aug 2021 10:51:54;11597;1539;1440;232;11829;2979;MCC;0.6140031507742078
rdf;Recall;Original;{'n_estimators': 400, 'min_samples_split': 2, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:17;Thu, 12 Aug 2021 10:51:53;Thu, 12 Aug 2021 10:51:54;11597;1539;1440;232;11829;2979;ROC;0.7485017491193108
rdf;F1;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:54;Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:54:25;11468;1840;1139;361;11829;2979;Acurácia;0.8987034035656402
rdf;F1;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:54;Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:54:25;11468;1840;1139;361;11829;2979;Precisão;0.9096533671769652
rdf;F1;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:54;Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:54:25;11468;1840;1139;361;11829;2979;Recall;0.9694817820610364
rdf;F1;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:54;Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:54:25;11468;1840;1139;361;11829;2979;F1;0.9386151579636601
rdf;F1;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:54;Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:54:25;11468;1840;1139;361;11829;2979;MCC;0.6616587909740104
rdf;F1;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:54;Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:54:25;11468;1840;1139;361;11829;2979;ROC;0.7935693569586821
rdf;MCC;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:56:43;Thu, 12 Aug 2021 10:56:43;11358;1938;1041;471;11829;2979;Acurácia;0.8978930307941653
rdf;MCC;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:56:43;Thu, 12 Aug 2021 10:56:43;11358;1938;1041;471;11829;2979;Precisão;0.9160416162593757
rdf;MCC;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:56:43;Thu, 12 Aug 2021 10:56:43;11358;1938;1041;471;11829;2979;Recall;0.9601826020796348
rdf;MCC;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:56:43;Thu, 12 Aug 2021 10:56:43;11358;1938;1041;471;11829;2979;F1;0.937592867756315
rdf;MCC;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:56:43;Thu, 12 Aug 2021 10:56:43;11358;1938;1041;471;11829;2979;MCC;0.6633632354684375
rdf;MCC;Original;{'n_estimators': 300, 'min_samples_split': 7, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:54:25;Thu, 12 Aug 2021 10:56:43;Thu, 12 Aug 2021 10:56:43;11358;1938;1041;471;11829;2979;ROC;0.8053682396098074
