tipo;nome;dataset;alg;par;hora_inicio;hora_fim;param;metrica;mean_train;std_train;mean_test;std_test;rank_test
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy'};MCC;0.5461034773409329;0.002106919120986699;0.5205339022412295;0.008643568769407783;88
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy'};ROC;0.8160627248326302;0.0008479202373104321;0.8009618083677404;0.005639951913764051;41
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'gini'};Acurácia;0.8456295224312591;0.002499201411360624;0.839218523878437;0.008240023644275946;81
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'gini'};Precisão;0.9468262835490527;0.0008265307678859529;0.9415113181655;0.003589423426308952;8
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'gini'};Recall;0.8552712014824431;0.0030314721882727254;0.852181591268501;0.009863478798569823;81
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'gini'};F1;0.8987203351757728;0.0017888459089757374;0.8945914109074558;0.005865292524312121;81
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'gini'};MCC;0.5911792026609953;0.004886401597079299;0.5719085032815059;0.017118031915228923;81
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'gini'};ROC;0.8310652656336026;0.002159725999879489;0.8196383416983265;0.008257938018243207;12
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Acurácia;0.9976555716353112;0.00034957662313114086;0.8971056439942113;0.0025032414831189166;7
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Precisão;0.9989780993683486;0.00017536290799166458;0.9134945065244746;0.003240970598992198;56
