nr_municipio;nb_municipio;latitude_municipio;longitude_municipio;cd_municipio_ibge;ae_municipio
668.0;Itaubal - AP;0.596;-50.671;1600253;1703.969
670.0;Porto Grande - AP;0.713;-51.413;1600535;4401.793
664.0;Serra do Navio - AP;0.896;-52.002;1600055;7756.136
70.0;Vitória do Jari - AP;-0.938;-52.424;1600808;2482.888
600.0;Amapá - AP;2.053;-50.793;1600105;9175.989
602.0;Calçoene - AP;2.498;-50.949;1600204;14269.366
608.0;Oiapoque - AP;3.843;-51.835;1600501;22625.182
616.0;Tartarugalzinho - AP;1.506;-50.912;1600709;6709.663
672.0;Pracuúba - AP;1.7429999999999999;-50.791;1600550;4956.477
748.0;Cândido Mendes - MA;-1.447;-45.717;2102606;1632.914
754.0;Carutapera - MA;-1.195;-46.02;2102903;1232.08
782.0;Godofredo Viana - MA;-1.403;-45.78;2104305;675.168
822.0;Luís Domingues - MA;-1.268;-45.873;2106201;464.06
940.0;Turiaçu - MA;-1.663;-45.372;2112407;2578.497
1229.0;Santa Luzia do Paruá - MA;-2.629;-45.773;2110039;897.147
214.0;Presidente Médici - MA;-2.387;-45.82;2109239;437.687
194.0;Maranhãozinho - MA;-2.241;-45.851;2106375;972.617
202.0;Nova Olinda do Maranhão - MA;-2.847;-45.695;2107357;2452.615
190.0;Maracaçumé - MA;-2.043;-45.959;2106326;629.306
126.0;Boa Vista do Gurupi - MA;-1.788;-46.303;2101970;403.46
262.0;Turilândia - MA;-2.201;-45.343;2112456;1511.857
110.0;Amapá do Maranhão - MA;-1.675;-46.002;2100550;502.402
180.0;Junco do Maranhão - MA;-1.8439999999999999;-46.092;2105658;555.088
702.0;Alcântara - MA;-2.409;-44.415;2100204;1486.678
712.0;Anajatuba - MA;-3.2640000000000002;-44.62;2100709;1011.129
718.0;Arari - MA;-3.454;-44.78;2101004;1100.275
736.0;Bequimão - MA;-2.449;-44.783;2101905;768.954
744.0;Cajapió - MA;-2.8810000000000002;-44.675;2102408;908.729
746.0;Cajari - MA;-3.321;-45.011;2102507;662.066
758.0;Cedral - MA;-2.0;-44.536;2103109;283.186
770.0;Cururupu - MA;-1.8279999999999998;-44.868;2103703;1223.371
794.0;Guimarães - MA;-2.133;-44.601;2104909;595.382
828.0;Matinha - MA;-3.101;-45.034;2106508;408.727
834.0;Mirinzal - MA;-2.065;-44.784;2106805;687.748
862.0;Penalva - MA;-3.294;-45.174;2108306;738.252
864.0;Peri Mirim - MA;-2.578;-44.854;2108405;405.302
868.0;Pinheiro - MA;-2.521;-45.083;2108603;1512.682
894.0;Santa Helena - MA;-2.231;-45.3;2109809;2308.193
906.0;São Bento - MA;-2.6959999999999997;-44.821;2110500;459.07
916.0;São João Batista - MA;-2.955;-44.807;2111003;690.683
